Source,Target,Type,Id,Label,timeset,Weight,value
20077,20124,Undirected,15744,,,2,2
10838,40079,Undirected,15745,,,17,17
21413,30100,Undirected,15746,,,12,12
21011,30110,Undirected,15747,,,1,1
20169,21700,Undirected,15748,,,1,1
10198,10297,Undirected,15749,,,12,12
10803,20664,Undirected,15750,,,1,1
20681,21263,Undirected,15751,,,2,2
10191,20376,Undirected,15752,,,1,1
11383,21154,Undirected,15753,,,1,1
20964,60036,Undirected,15754,,,1,1
20396,21566,Undirected,15755,,,1,1
11051,20869,Undirected,15756,,,4,4
20018,20102,Undirected,15757,,,7,7
30244,40071,Undirected,15758,,,4,4
30244,40070,Undirected,15759,,,1,1
10640,30340,Undirected,15760,,,163,163
10265,10266,Undirected,15761,,,1,1
21583,21611,Undirected,15762,,,1,1
20789,21358,Undirected,15763,,,1,1
10026,21170,Undirected,15764,,,1,1
21686,30417,Undirected,15765,,,1,1
11232,20277,Undirected,15766,,,1,1
10167,20028,Undirected,15767,,,1,1
11334,21807,Undirected,15768,,,4,4
11349,40034,Undirected,15769,,,2,2
20111,20614,Undirected,15770,,,5,5
10378,20057,Undirected,15771,,,1,1
10130,10380,Undirected,15772,,,7,7
20408,20477,Undirected,15773,,,7,7
21083,30332,Undirected,15774,,,1,1
10888,21318,Undirected,15775,,,1,1
21141,30174,Undirected,15776,,,1,1
10310,30244,Undirected,15777,,,2,2
10117,21506,Undirected,15778,,,1,1
20089,21371,Undirected,15779,,,1,1
10484,20790,Undirected,15780,,,9,9
10602,40164,Undirected,15781,,,4,4
10920,20470,Undirected,15782,,,99,99
11110,40121,Undirected,15783,,,16,16
10090,10241,Undirected,15784,,,3,3
11398,20168,Undirected,15785,,,1,1
11336,30116,Undirected,15786,,,1,1
20169,60019,Undirected,15787,,,2,2
10911,20261,Undirected,15788,,,1,1
10715,30415,Undirected,15789,,,1,1
21253,30048,Undirected,15790,,,1,1
11080,20851,Undirected,15791,,,1,1
